location,buckwalter,part of speech,treebank,arabic,meaning
(18:75:1:1),qaAla,V,STEM|POS:V|PERF|LEM:qaAla|ROOT:qwl|3MS,قَالَ,
(18:75:2:1),>a,INTG,PREFIX|A:INTG+,أَ,
(18:75:2:2),lamo,NEG,STEM|POS:NEG|LEM:lam,لَمْ,
(18:75:3:1),>aqul,V,STEM|POS:V|IMPF|LEM:qaAla|ROOT:qwl|1S|MOOD:JUS,أَقُل,
(18:75:4:1),l~a,P,PREFIX|l:P+,لَّ,
(18:75:4:2),ka,PRON,STEM|POS:PRON|2MS,كَ,
(18:75:5:1),<in~a,ACC,STEM|POS:ACC|LEM:<in~|SP:<in~,إِنَّ,
(18:75:5:2),ka,PRON,SUFFIX|PRON:2MS,كَ,
(18:75:6:1),lan,NEG,STEM|POS:NEG|LEM:lan,لَن,
(18:75:7:1),tasotaTiyEa,V,STEM|POS:V|IMPF|(X)|LEM:{sotaTaAEa|ROOT:TwE|2MS|MOOD:SUBJ,تَسْتَطِيعَ,
(18:75:8:1),maEi,LOC,STEM|POS:LOC|LEM:maE|ACC,مَعِ,
(18:75:8:2),Ya,PRON,SUFFIX|PRON:1S,ىَ,
(18:75:9:1),SaborFA,N,STEM|POS:N|LEM:Sabor|ROOT:Sbr|M|INDEF|ACC,صَبْرًا,
(18:76:1:1),qaAla,V,STEM|POS:V|PERF|LEM:qaAla|ROOT:qwl|3MS,قَالَ,
(18:76:2:1),<in,COND,STEM|POS:COND|LEM:<in,إِن,
(18:76:3:1),sa>alo,V,STEM|POS:V|PERF|LEM:sa>ala|ROOT:sAl|1S,سَأَلْ,
(18:76:3:2),tu,PRON,SUFFIX|PRON:1S,تُ,
(18:76:3:3),ka,PRON,SUFFIX|PRON:2MS,كَ,
(18:76:4:1),Ean,P,STEM|POS:P|LEM:Ean,عَن,
(18:76:5:1),$aYo'K],N,STEM|POS:N|LEM:$aYo'|ROOT:$yA|M|INDEF|GEN,شَىْءٍ],
(18:76:6:1),baEoda,T,STEM|POS:T|LEM:baEod|ROOT:bEd|ACC,بَعْدَ,
(18:76:6:2),haA,PRON,SUFFIX|PRON:3FS,هَا,
(18:76:7:1),fa,REM,PREFIX|f:REM+,فَ,
(18:76:7:2),laA,NEG,STEM|POS:NEG|LEM:laA,لَا,
(18:76:8:1),tuSa`Hibo,V,STEM|POS:V|IMPF|(III)|LEM:tuSa`Hibo|ROOT:SHb|2MS|MOOD:JUS,تُصَٰحِبْ,
(18:76:8:2),niY,PRON,SUFFIX|PRON:1S,نِى,
(18:76:9:1),qado,CERT,STEM|POS:CERT|LEM:qad,قَدْ,
(18:76:10:1),balago,V,STEM|POS:V|PERF|LEM:balaga|ROOT:blg|2MS,بَلَغْ,
(18:76:10:2),ta,PRON,SUFFIX|PRON:2MS,تَ,
(18:76:11:1),min,P,STEM|POS:P|LEM:min,مِن,
(18:76:12:1),l~adun~i,N,STEM|POS:N|LEM:l~adun|ROOT:ldn|GEN,لَّدُنِّ,
(18:76:12:2),Y,PRON,SUFFIX|PRON:1S,ى,
(18:76:13:1),Eu*orFA,N,STEM|POS:N|LEM:Eu*or|ROOT:E*r|M|INDEF|ACC,عُذْرًا,
(18:77:1:1),fa,REM,PREFIX|f:REM+,فَ,
(18:77:1:2),{nTalaqa,V,STEM|POS:V|PERF|(VII)|LEM:{nTalaqa|ROOT:Tlq|3MD,ٱنطَلَقَ,
(18:77:1:3),A,PRON,SUFFIX|PRON:3MD,ا,
(18:77:2:1),Hat~aY`^,INC,STEM|POS:INC|LEM:Hat~aY`,حَتَّىٰ^,
(18:77:3:1),<i*aA^,T,STEM|POS:T|LEM:<i*aA,إِذَا^,
(18:77:4:1),>ataya,V,STEM|POS:V|PERF|LEM:>ataY|ROOT:Aty|3MD,أَتَيَ,
(18:77:4:2),A^,PRON,SUFFIX|PRON:3MD,ا^,
(18:77:5:1),>ahola,N,STEM|POS:N|LEM:>ahol|ROOT:Ahl|M|ACC,أَهْلَ,
(18:77:6:1),qaroyapK,N,STEM|POS:N|LEM:qaroyap|ROOT:qry|F|INDEF|GEN,قَرْيَةٍ,
(18:77:7:1),{sotaToEama,V,STEM|POS:V|PERF|(X)|LEM:{sotaToEama|ROOT:TEm|3MD,ٱسْتَطْعَمَ,
(18:77:7:2),A^,PRON,SUFFIX|PRON:3MD,ا^,
(18:77:8:1),>ahola,N,STEM|POS:N|LEM:>ahol|ROOT:Ahl|M|ACC,أَهْلَ,
(18:77:8:2),haA,PRON,SUFFIX|PRON:3FS,هَا,
(18:77:9:1),fa,REM,PREFIX|f:REM+,فَ,
(18:77:9:2),>aba,V,STEM|POS:V|PERF|LEM:>abaY|ROOT:Aby|3MP,أَبَ,
(18:77:9:3),woA@,PRON,SUFFIX|PRON:3MP,وْا@,
(18:77:10:1),>an,SUB,STEM|POS:SUB|LEM:>an,أَن,
(18:77:11:1),yuDay~ifu,V,STEM|POS:V|IMPF|(II)|LEM:yuDay~ifu|ROOT:Dyf|3MP|MOOD:SUBJ,يُضَيِّفُ,
(18:77:11:2),w,PRON,SUFFIX|PRON:3MP,و,
(18:77:11:3),humaA,PRON,SUFFIX|PRON:3D,هُمَا,
(18:77:12:1),fa,REM,PREFIX|f:REM+,فَ,
(18:77:12:2),wajada,V,STEM|POS:V|PERF|LEM:wajada|ROOT:wjd|3MD,وَجَدَ,
(18:77:12:3),A,PRON,SUFFIX|PRON:3MD,ا,
(18:77:13:1),fiy,P,STEM|POS:P|LEM:fiY,فِي,
(18:77:13:2),haA,PRON,SUFFIX|PRON:3FS,هَا,
(18:77:14:1),jidaArFA,N,STEM|POS:N|LEM:jidaAr|ROOT:jdr|M|INDEF|ACC,جِدَارًا,
(18:77:15:1),yuriydu,V,STEM|POS:V|IMPF|(IV)|LEM:>araAda|ROOT:rwd|3MS,يُرِيدُ,
(18:77:16:1),>an,SUB,STEM|POS:SUB|LEM:>an,أَن,
(18:77:17:1),yanqaD~a,V,STEM|POS:V|IMPF|(VII)|LEM:yanqaD~a|ROOT:qDD|3MS|MOOD:SUBJ,يَنقَضَّ,
(18:77:18:1),fa,REM,PREFIX|f:REM+,فَ,
(18:77:18:2),>aqaAma,V,STEM|POS:V|PERF|(IV)|LEM:>aqaAma|ROOT:qwm|3MS,أَقَامَ,
